agent,model,omega,beta,ll,group,ntrials,exp,prolificID,param,value
675dd4aed41b2116f978a0a1,map,0.9929656121879815,73.5367925465107,39.51065515964885,perceptual,313,FullPilot14,675dd4aed41b2116f978a0a1,omega,0.9929656121879815
675eedc3e29d31f79d612346,map,2.9802322831784522e-09,0.2846530079841614,117.88611102073416,random,314,FullPilot14,675eedc3e29d31f79d612346,omega,2.9802322831784522e-09
6718b9bc107831749fa97950,map,0.99998779296875,0.0,117.14187348083051,perceptual,309,FullPilot14,6718b9bc107831749fa97950,omega,0.99998779296875
675d7c82a4e3245aa7687d52,map,0.9999999970197677,3.0847492814064026,63.9773014606826,random,198,FullPilot14,675d7c82a4e3245aa7687d52,omega,0.9999999970197677
63e40d7b1a88578e3c993478,map,0.9196418481995351,23.279194617643952,63.22842799077244,combined,316,FullPilot14,63e40d7b1a88578e3c993478,omega,0.9196418481995351
677a58735c4ac72aaffc95a7,map,0.6615452999249101,0.5637325346469879,118.47356376885112,random,316,FullPilot14,677a58735c4ac72aaffc95a7,omega,0.6615452999249101
5c989ea4c7f75b0001677fa8,map,0.9656303400173782,63.42992387712002,48.28377577736882,combined,314,FullPilot14,5c989ea4c7f75b0001677fa8,omega,0.9656303400173782
67143d69d010fd19ac3a1e06,map,0.9938514133915305,51.74568608403206,104.40581119884061,perceptual,316,FullPilot14,67143d69d010fd19ac3a1e06,omega,0.9938514133915305
677b177da6c75e1c1a0d8c5f,map,0.771142578125,0.0,117.83502066119046,random,314,FullPilot14,677b177da6c75e1c1a0d8c5f,omega,0.771142578125
66c6952ac1f2b09e6c930cf8,map,0.9907500505447387,38.617000579833984,105.30422053227127,perceptual,315,FullPilot14,66c6952ac1f2b09e6c930cf8,omega,0.9907500505447387
6743a27eda56d91031757fdc,map,0.912369680404663,23.63576889038086,61.37629289242472,combined,316,FullPilot14,6743a27eda56d91031757fdc,omega,0.912369680404663
6751e21bab5bb259997e4c67,map,0.9983354453463107,28.13208159059286,101.03354826655438,perceptual,286,FullPilot14,6751e21bab5bb259997e4c67,omega,0.9983354453463107
67628f7b4f57e91918c49e72,map,0.9999999999992724,24.816946275532246,75.05142003234113,perceptual,305,FullPilot14,67628f7b4f57e91918c49e72,omega,0.9999999999992724
67055efcc9d6595c24d60bb5,map,0.9075944900512695,34.11224365234375,64.73634077214369,combined,314,FullPilot14,67055efcc9d6595c24d60bb5,omega,0.9075944900512695
6745171138a79bddfee4e965,map,0.9711212158203124,61.68212890625,45.926101747701296,combined,316,FullPilot14,6745171138a79bddfee4e965,omega,0.9711212158203124
