agent,model,x,ll,group,ntrials,exp,prolificID,omega,beta
610a1655e385fd7341e12778,map,[0.82915903 2.93827534],183.45121555707848,perceptual,287,FullPilot12,610a1655e385fd7341e12778,0.8291590273380279,2.9382753372192383
66f6c4195f17d26ce8c8018d,map,[  0.96368484 121.1095047 ],140.2399144827887,perceptual,288,FullPilot12,66f6c4195f17d26ce8c8018d,0.9636848449707031,121.10950469970703
636590165e6fcc3e84ee2b6d,map,[8.34465027e-08 5.67817688e-02],194.05294516341962,random,280,FullPilot12,636590165e6fcc3e84ee2b6d,8.344650270775134e-08,0.056781768798828125
660d619f39d061875f78ac8c,map,[1.30385164e-09 3.61328232e+02],229.9666046522863,random,296,FullPilot12,660d619f39d061875f78ac8c,1.3038516377683607e-09,361.3282323628664
667ad18688c9319e6559bdc4,map,[ 0.88432064 17.33314514],145.7070291366991,combined,288,FullPilot12,667ad18688c9319e6559bdc4,0.8843206405639648,17.333145141601562
669ede47eb98d478aff45414,map,[4.65661953e-11 2.43081196e+01],141.43515935128517,combined,288,FullPilot12,669ede47eb98d478aff45414,4.6566195344155403e-11,24.30811956524849
60d7922fc3809c404939251c,map,[  0.86737331 249.28974526],147.14886987627366,perceptual,288,FullPilot12,60d7922fc3809c404939251c,0.8673733109166846,249.2897452647469
5a9353586219a30001d2f2af,map,[2.98023228e-09 2.08762765e+01],189.13042134856573,random,287,FullPilot12,5a9353586219a30001d2f2af,2.9802322831784522e-09,20.87627649307251
5d5b67ab9ad5a300181398dc,map,[ 0.96272904 98.64259174],136.06726342848853,perceptual,288,FullPilot12,5d5b67ab9ad5a300181398dc,0.9627290385309606,98.64259174093604
6165e6f471254e3af05c5057,map,[0.80974796 0.70894081],197.82218436968168,random,288,FullPilot12,6165e6f471254e3af05c5057,0.8097479573916644,0.7089408114552498
66f7102d3196ce5e60b2c1bd,map,[0.90811229 5.92971087],174.1949063788366,perceptual,287,FullPilot12,66f7102d3196ce5e60b2c1bd,0.9081122925970703,5.929710865020752
66eeda2bc7d6e9b92b4a81c0,map,[  0.99526101 260.7527665 ],156.85120678614732,perceptual,336,FullPilot12,66eeda2bc7d6e9b92b4a81c0,0.9952610097825527,260.75276650488377
63626fe174f7db263a4aa8f2,map,[ 0.23527086 52.68043987],207.70014797083073,random,282,FullPilot12,63626fe174f7db263a4aa8f2,0.23527085863461256,52.680439869873226
6167175ed1680ecefc063aed,map,[  0.91694661 306.82675764],123.61377516467114,perceptual,288,FullPilot12,6167175ed1680ecefc063aed,0.9169466061920502,306.82675763802763
66bb5ad727c62d0960db333c,map,[  0.96578033 175.20688228],156.53489317585803,perceptual,288,FullPilot12,66bb5ad727c62d0960db333c,0.9657803251640871,175.2068822819274
64db80772c860983ea3a7310,map,[0.77235107 0.        ],198.93324082070478,random,287,FullPilot12,64db80772c860983ea3a7310,0.77235107421875,0.0
657b6239aa8091bfa2b24ae0,map,[  0.91829407 408.85908913],148.36442364249748,perceptual,288,FullPilot12,657b6239aa8091bfa2b24ae0,0.9182940669365052,408.8590891333297
66b104dedef80475efe58141,map,[0.83352849 5.65268662],179.07808968765426,perceptual,288,FullPilot12,66b104dedef80475efe58141,0.8335284895729274,5.65268661826849
