agent,expName,value,param,param2
610a1655e385fd7341e12778,FullPilot12,99.99998311996461,$\beta_P$,opti_ff
610a1655e385fd7341e12778,FullPilot12,1.688003539612737e-05,$\beta_V$,opti_ss
66f6c4195f17d26ce8c8018d,FullPilot12,99.99993553161622,$\beta_P$,opti_ff
66f6c4195f17d26ce8c8018d,FullPilot12,6.446838378337816e-05,$\beta_V$,opti_ss
636590165e6fcc3e84ee2b6d,FullPilot12,1.4975666573491253e-07,$\beta_P$,opti_ff
636590165e6fcc3e84ee2b6d,FullPilot12,1.4975666573491253e-07,$\beta_V$,opti_ss
667ad18688c9319e6559bdc4,FullPilot12,99.92120060920716,$\beta_P$,opti_ff
667ad18688c9319e6559bdc4,FullPilot12,0.44257959723471885,$\beta_V$,opti_ss
660d619f39d061875f78ac8c,FullPilot12,5.215406346792406e-07,$\beta_P$,opti_ff
660d619f39d061875f78ac8c,FullPilot12,99.9987748220563,$\beta_V$,opti_ss
60d7922fc3809c404939251c,FullPilot12,35.141094311513,$\beta_P$,opti_ff
60d7922fc3809c404939251c,FullPilot12,4.4113604371435855,$\beta_V$,opti_ss
6165e6f471254e3af05c5057,FullPilot12,0.3401070117950411,$\beta_P$,opti_ff
6165e6f471254e3af05c5057,FullPilot12,0.6663608312606755,$\beta_V$,opti_ss
5a9353586219a30001d2f2af,FullPilot12,1.4975666573491253e-07,$\beta_P$,opti_ff
5a9353586219a30001d2f2af,FullPilot12,0.42181713543831734,$\beta_V$,opti_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,99.99974517822267,$\beta_P$,opti_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,0.00025482177733948674,$\beta_V$,opti_ss
5d5b67ab9ad5a300181398dc,FullPilot12,99.99999947845936,$\beta_P$,opti_ff
5d5b67ab9ad5a300181398dc,FullPilot12,0.5559395045041953,$\beta_V$,opti_ss
669ede47eb98d478aff45414,FullPilot12,1.0337672051718982e-08,$\beta_P$,opti_ff
669ede47eb98d478aff45414,FullPilot12,99.99999998966233,$\beta_V$,opti_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,60.29209875818342,$\beta_P$,opti_ff
