,agent,model,omega,beta,ll,group,ntrials,exp,prolificID
0,610a1655e385fd7341e12778,map,0.991143798828125,0.997314453125,88.24228328205737,perceptual,287,FullPilot12,610a1655e385fd7341e12778
1,610a1655e385fd7341e12778,value,0.99998779296875,79.130859375,99.813184631913,perceptual,287,FullPilot12,610a1655e385fd7341e12778
2,610a1655e385fd7341e12778,perceptual,0.02359848022460942,41.81915283203125,88.24260010449174,perceptual,287,FullPilot12,610a1655e385fd7341e12778
3,66f6c4195f17d26ce8c8018d,map,0.999994659423828,1.99798583984375,66.01637707411733,perceptual,288,FullPilot12,66f6c4195f17d26ce8c8018d
4,66f6c4195f17d26ce8c8018d,value,0.9999788880348205,365.68668365478516,99.81261297028914,perceptual,288,FullPilot12,66f6c4195f17d26ce8c8018d
5,66f6c4195f17d26ce8c8018d,perceptual,0.11109085083007814,17.975921630859375,66.01637264618888,perceptual,288,FullPilot12,66f6c4195f17d26ce8c8018d
6,636590165e6fcc3e84ee2b6d,map,0.32498779296875,0.0,99.81319397183192,random,280,FullPilot12,636590165e6fcc3e84ee2b6d
7,636590165e6fcc3e84ee2b6d,value,0.99998779296875,0.0,99.81319397183192,random,280,FullPilot12,636590165e6fcc3e84ee2b6d
8,636590165e6fcc3e84ee2b6d,perceptual,0.22666015625000002,0.0,99.81319397183192,random,280,FullPilot12,636590165e6fcc3e84ee2b6d
9,660d619f39d061875f78ac8c,map,0.3218017578125,0.0,99.81319397183192,random,296,FullPilot12,660d619f39d061875f78ac8c
10,660d619f39d061875f78ac8c,value,0.99998779296875,265.196533203125,99.81309322276692,random,296,FullPilot12,660d619f39d061875f78ac8c
11,660d619f39d061875f78ac8c,perceptual,0.2205078125,0.0,99.81319397183192,random,296,FullPilot12,660d619f39d061875f78ac8c
12,667ad18688c9319e6559bdc4,map,0.6449468149707173,3.810143221562612,50.27796331612909,combined,288,FullPilot12,667ad18688c9319e6559bdc4
13,667ad18688c9319e6559bdc4,value,0.9979128486476838,290.47069320455194,96.58197734931498,combined,288,FullPilot12,667ad18688c9319e6559bdc4
14,667ad18688c9319e6559bdc4,perceptual,0.19545683860778812,10.966873168945312,57.011804704762,combined,288,FullPilot12,667ad18688c9319e6559bdc4
15,669ede47eb98d478aff45414,map,0.28571549206972124,4.255054295063019,52.672178956881226,combined,288,FullPilot12,669ede47eb98d478aff45414
16,669ede47eb98d478aff45414,value,0.522718095779419,5.251379013061523,62.71650243353382,combined,288,FullPilot12,669ede47eb98d478aff45414
17,669ede47eb98d478aff45414,perceptual,0.0412315368652344,16.571807861328125,93.11153722798475,combined,288,FullPilot12,669ede47eb98d478aff45414
18,60d7922fc3809c404939251c,map,0.9339256600942463,3.0711089074611664,64.43926597686658,perceptual,288,FullPilot12,60d7922fc3809c404939251c
19,60d7922fc3809c404939251c,value,0.998755693435669,104.72677230834961,99.66525449429753,perceptual,288,FullPilot12,60d7922fc3809c404939251c
20,60d7922fc3809c404939251c,perceptual,0.1856742858886719,15.412774085998535,64.64372105808766,perceptual,288,FullPilot12,60d7922fc3809c404939251c
21,5a9353586219a30001d2f2af,map,1.2207031250044409e-05,0.26123046875,98.50624584839774,random,287,FullPilot12,5a9353586219a30001d2f2af
22,5a9353586219a30001d2f2af,value,0.9985739032621495,182.948181303218,98.5062201133016,random,287,FullPilot12,5a9353586219a30001d2f2af
23,5a9353586219a30001d2f2af,perceptual,0.22622070312500003,0.0,99.12004679147198,random,287,FullPilot12,5a9353586219a30001d2f2af
24,5d5b67ab9ad5a300181398dc,map,0.889771099248901,2.863951548933983,52.983904157079834,perceptual,288,FullPilot12,5d5b67ab9ad5a300181398dc
25,5d5b67ab9ad5a300181398dc,value,0.99998779296875,0.0,99.81319397183192,perceptual,288,FullPilot12,5d5b67ab9ad5a300181398dc
26,5d5b67ab9ad5a300181398dc,perceptual,0.12373360395431521,20.173325538635254,53.404269448288346,perceptual,288,FullPilot12,5d5b67ab9ad5a300181398dc
27,6165e6f471254e3af05c5057,map,0.5138651497662068,0.638473629951477,97.86375991635657,random,288,FullPilot12,6165e6f471254e3af05c5057
28,6165e6f471254e3af05c5057,value,0.9986706137657165,225.43874621391296,98.93387992062667,random,288,FullPilot12,6165e6f471254e3af05c5057
29,6165e6f471254e3af05c5057,perceptual,0.07989700348116463,3.9852711744606495,98.78790641216082,random,288,FullPilot12,6165e6f471254e3af05c5057
