agent,model,x,ll,group,ntrials,exp,prolificID,omega,beta
668180f26a3b162091510589,map,[0.31678903 3.69807124],75.99511820293674,combined,315,FullPilot12,668180f26a3b162091510589,0.31678903102874756,3.698071241378784
5ee738a018d5a84caa7e0f2a,map,[0.57865853 5.75699829],55.055072761804425,combined,315,FullPilot12,5ee738a018d5a84caa7e0f2a,0.5786585250860662,5.756998291180935
66ffb576e0cde42ca9ea7fa7,map,[0.96251526 1.2109375 ],97.31018625606154,perceptual,316,FullPilot12,66ffb576e0cde42ca9ea7fa7,0.9625152587890624,1.2109375
663784abc88d62265def75ea,map,[0.86032694 3.26055765],67.69936341803286,perceptual,316,FullPilot12,663784abc88d62265def75ea,0.8603269386291503,3.2605576515197754
5da4152a3ab39a0011295a3e,map,[0.29140432 1.0759148 ],112.46926659598458,value,316,FullPilot12,5da4152a3ab39a0011295a3e,0.29140432327985766,1.0759148001670837
66182d2b06cbee83d298b517,map,[0.84721052 4.13326383],61.67615626082379,perceptual,316,FullPilot12,66182d2b06cbee83d298b517,0.8472105169296265,4.133263826370239
66c7f746e43985cfcb2c99e6,map,[0.56428558 3.93249512],71.91245265227329,combined,312,FullPilot12,66c7f746e43985cfcb2c99e6,0.5642855834960937,3.9324951171875
66ee262c64a810b7ec1371e9,map,[0.69231001 3.29498291],77.01809225749597,perceptual,316,FullPilot12,66ee262c64a810b7ec1371e9,0.6923100090026856,3.29498291015625
628de7e8ff1744a9717d7883,map,[0.32282959 0.        ],119.22131502191034,random,316,FullPilot12,628de7e8ff1744a9717d7883,0.32282958984375,0.0
66e74251d30f3f96be79e2f0,map,[0.09622253 7.74200439],24.081518226097927,value,316,FullPilot12,66e74251d30f3f96be79e2f0,0.09622253417968751,7.74200439453125
