agent,model,original_model,ll,fitted_rl_temp,fitted_perceptual_temp,rl_temp,perceptual_temp
279,NormativeLogRatio,perceptual neglect,15.704485186435459,4.671123023205941,0.39091128948795834,10.0,1.0
280,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
281,NormativeLogRatio,balanced,16.16477110865922,3.703787036073147,6.856432772392308,5.0,5.0
282,NormativeLogRatio,value neglect,12.766518091220737,0.0,6.056403743256776,1.0,10.0
283,NormativeLogRatio,perceptual neglect,12.966887175253158,4.354169435786453,0.0,10.0,1.0
284,NormativeLogRatio,random,32.791569187371216,0.2666528400076986,0.878011734297663,,
285,NormativeLogRatio,balanced,11.121305446931306,5.558006011003685,3.151385602804464,5.0,5.0
286,NormativeLogRatio,value neglect,4.933149130549716,5.232658938680752,18.16016766015573,1.0,10.0
287,NormativeLogRatio,perceptual neglect,13.788986570950122,5.554697894798828,0.28067367739444654,10.0,1.0
288,NormativeLogRatio,random,33.84204145047985,0.45200465428333286,0.0,,
289,NormativeLogRatio,balanced,20.022910286644656,4.400203655251975,3.564356958541837,5.0,5.0
290,NormativeLogRatio,value neglect,11.050582037449983,1.066190415172694,5.386150635199579,1.0,10.0
291,NormativeLogRatio,perceptual neglect,21.26639623842506,4.799102663258855,0.7358760046951554,10.0,1.0
292,NormativeLogRatio,random,32.60284359130037,0.0,0.4186115909633188,,
293,NormativeLogRatio,balanced,15.10145188342005,4.074626301229247,2.2550804837972978,5.0,5.0
294,NormativeLogRatio,value neglect,9.390286568755165,0.6333119738585509,9.73280595471799,1.0,10.0
295,NormativeLogRatio,perceptual neglect,0.9361079265640444,30.0,3.1349407184195,10.0,1.0
296,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
297,NormativeLogRatio,balanced,5.139783694116064,11.849976011289876,8.090059071881956,5.0,5.0
298,NormativeLogRatio,value neglect,14.84558595830561,0.7566049513834403,3.7902191459526064,1.0,10.0
299,NormativeLogRatio,perceptual neglect,11.163432307660969,7.2651007408569175,0.0,10.0,1.0
300,NormativeLogRatio,random,33.14219789727949,0.19464857829340926,0.35473459181029904,,
301,NormativeLogRatio,balanced,8.479279838872388,4.91584703111755,11.366600059785247,5.0,5.0
302,NormativeLogRatio,value neglect,12.176953288727809,0.6063853797808197,7.719289692935797,1.0,10.0
303,NormativeLogRatio,perceptual neglect,13.768322582477627,6.527463159143611,1.1825210042221657,10.0,1.0
304,NormativeLogRatio,random,33.96325354256885,0.027759687336679585,0.0,,
305,NormativeLogRatio,balanced,12.499912661878177,4.07521291920845,5.038681463634126,5.0,5.0
306,NormativeLogRatio,value neglect,9.834619656134517,1.4919019516673435,7.726048540982315,1.0,10.0
307,NormativeLogRatio,perceptual neglect,6.623092346959446,9.290559712463436,0.0,10.0,1.0
308,NormativeLogRatio,random,33.85333755183783,0.0,0.12355939583101616,,
309,NormativeLogRatio,balanced,11.50345480431725,3.189904770165347,6.005256461449702,5.0,5.0
310,NormativeLogRatio,value neglect,13.685854255533306,0.4571110297400816,8.54324006810375,1.0,10.0
311,NormativeLogRatio,perceptual neglect,6.244866834701219,17.129170281067715,1.9275035028083691,10.0,1.0
312,NormativeLogRatio,random,32.58875932622646,0.7127253558882369,0.0,,
313,NormativeLogRatio,balanced,10.055631749659392,4.606176189434953,8.063398951623688,5.0,5.0
314,NormativeLogRatio,value neglect,8.482116509966094,0.3347761631644566,13.639186225261362,1.0,10.0
315,NormativeLogRatio,perceptual neglect,12.912002337968627,6.859327287894682,0.0,10.0,1.0
316,NormativeLogRatio,random,32.504548526919635,0.6840801841065067,0.5078324362990982,,
317,NormativeLogRatio,balanced,5.468253441548964,7.379663251333262,5.8055292557766585,5.0,5.0
318,NormativeLogRatio,value neglect,32.49787746638357,5.773639957197818,24.4663369516688,1.0,10.0
319,NormativeLogRatio,perceptual neglect,13.33373172145832,6.463332159733984,1.8828707833590068,10.0,1.0
320,NormativeLogRatio,random,263.6161563612625,28.845954235114696,27.074752056919866,,
321,NormativeLogRatio,balanced,12.442028478348709,3.512001793686278,4.0754020209222865,5.0,5.0
322,NormativeLogRatio,value neglect,7.23226976815786,1.1020792523073668,8.468564430293796,1.0,10.0
323,NormativeLogRatio,perceptual neglect,10.767560750690789,11.77336898306842,1.8874184462830872,10.0,1.0
324,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
325,NormativeLogRatio,balanced,13.16411119463033,5.872908369402414,5.60734194672097,5.0,5.0
326,NormativeLogRatio,value neglect,15.387922666995246,1.0977603643211709,5.8863987704502065,1.0,10.0
327,NormativeLogRatio,perceptual neglect,7.680295481245984,9.794472345502214,1.0936130198750025,10.0,1.0
328,NormativeLogRatio,random,33.96388034287151,0.0,0.009317374276655983,,
329,NormativeLogRatio,balanced,13.11928432308,4.167581561383506,5.526499347621441,5.0,5.0
330,NormativeLogRatio,value neglect,22.163747232515746,0.007932996245341167,3.6846360461834147,1.0,10.0
331,NormativeLogRatio,perceptual neglect,10.513727585229084,8.023382014696292,0.8176471818197136,10.0,1.0
332,NormativeLogRatio,random,32.50499556466779,0.017590417787230816,0.4410898316597073,,
333,NormativeLogRatio,balanced,16.681080866062004,3.9669168163275703,2.6080420856603457,5.0,5.0
334,NormativeLogRatio,value neglect,7.285255678735599,1.1738913900007881,6.843800666259687,1.0,10.0
335,NormativeLogRatio,perceptual neglect,12.63492560408586,5.397119940407917,0.6865781808908344,10.0,1.0
336,NormativeLogRatio,random,33.86789848715322,0.0,0.13549483515742258,,
337,NormativeLogRatio,balanced,8.624529399981768,6.385166817228914,5.851332911335384,5.0,5.0
338,NormativeLogRatio,value neglect,18.143513154157088,0.5963810353440503,4.195353329763382,1.0,10.0
339,NormativeLogRatio,perceptual neglect,12.289093597115263,6.337683309888272,0.8822364950661338,10.0,1.0
340,NormativeLogRatio,random,33.646002613204935,0.0,0.18216377244571036,,
341,NormativeLogRatio,balanced,17.89396972214456,3.7429145350940343,3.3779139002431426,5.0,5.0
342,NormativeLogRatio,value neglect,11.903851993137707,0.027700227302652522,6.081459771830513,1.0,10.0
343,NormativeLogRatio,perceptual neglect,10.214712589881056,4.29308299377057,0.0,10.0,1.0
344,NormativeLogRatio,random,32.77057796762833,1.6301150484461084,0.0,,
345,NormativeLogRatio,balanced,7.284088892951036,3.3516914019070314,4.880618776741631,5.0,5.0
346,NormativeLogRatio,value neglect,14.905183896954535,0.17279225312790936,5.030922752562702,1.0,10.0
347,NormativeLogRatio,perceptual neglect,9.514389453368723,4.218114521674615,0.7551469324845225,10.0,1.0
348,NormativeLogRatio,random,33.961932308625734,0.0,0.02085027136766062,,
349,NormativeLogRatio,balanced,13.1538151342834,3.684616473072048,3.885782094345936,5.0,5.0
350,NormativeLogRatio,value neglect,17.25928507878262,1.1277851968412742,6.637078044606643,1.0,10.0
351,NormativeLogRatio,perceptual neglect,10.027370415398819,8.575263067976715,0.0,10.0,1.0
352,NormativeLogRatio,random,33.39116686498004,0.2644383889350733,0.30347494726378577,,
353,NormativeLogRatio,balanced,14.620591610584572,5.5988488973054835,5.603041367959984,5.0,5.0
354,NormativeLogRatio,value neglect,12.750177315723755,0.0,4.702150110497811,1.0,10.0
355,NormativeLogRatio,perceptual neglect,21.412001340219895,7.866252746615218,1.5656024622422975,10.0,1.0
356,NormativeLogRatio,random,33.760178813379376,0.24556606300340894,0.0934032285493111,,
357,NormativeLogRatio,balanced,5.648576039980626,7.852911237214026,8.418593186834768,5.0,5.0
358,NormativeLogRatio,value neglect,13.076351751009094,2.1232517199695256,10.950349384169666,1.0,10.0
359,NormativeLogRatio,perceptual neglect,9.300199560194018,7.662852767590231,0.0,10.0,1.0
360,NormativeLogRatio,random,33.93486566401496,0.0,0.08687661030193414,,
361,NormativeLogRatio,balanced,13.533005822373491,3.990565881356091,3.9067167723097853,5.0,5.0
362,NormativeLogRatio,value neglect,11.519660566122981,1.3324208277247958,8.309522375886603,1.0,10.0
363,NormativeLogRatio,perceptual neglect,19.846915682191014,6.293511840514528,1.2844075175863674,10.0,1.0
364,NormativeLogRatio,random,33.808576231144514,0.12169094171713842,0.09991279309869129,,
365,NormativeLogRatio,balanced,19.688364182741267,2.671216517347019,3.4658999585243264,5.0,5.0
366,NormativeLogRatio,value neglect,8.988089965746983,1.041634645459745,12.675096857445846,1.0,10.0
367,NormativeLogRatio,perceptual neglect,13.624766211004408,5.683877479529406,3.222621264840138,10.0,1.0
368,NormativeLogRatio,random,33.90390512113651,0.0,0.10023739876064762,,
369,NormativeLogRatio,balanced,13.259975665643159,6.547378561153723,4.944835060735898,5.0,5.0
370,NormativeLogRatio,value neglect,6.3047889195741895,0.9138913413423386,8.98849397241775,1.0,10.0
371,NormativeLogRatio,perceptual neglect,15.164543647861038,5.122415784936621,0.0,10.0,1.0
372,NormativeLogRatio,random,33.86144418468686,0.0,0.15729454246804456,,
373,NormativeLogRatio,balanced,9.704439808394547,4.777881876515713,5.743147581967245,5.0,5.0
374,NormativeLogRatio,value neglect,14.857292728317315,1.0147627226156188,8.14778350874557,1.0,10.0
375,NormativeLogRatio,perceptual neglect,18.74922784650744,5.465537179446168,0.2478845471419238,10.0,1.0
376,NormativeLogRatio,random,33.29202132841797,0.47620682743549203,0.01178507310396483,,
377,NormativeLogRatio,balanced,18.9770770170779,2.057545695695154,3.1719968654121184,5.0,5.0
378,NormativeLogRatio,value neglect,9.218558432660302,0.49207547222231746,6.528546404912602,1.0,10.0
379,NormativeLogRatio,perceptual neglect,7.8394260672982705,8.017357712816574,1.2049288891046164,10.0,1.0
380,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
381,NormativeLogRatio,balanced,7.494906258109479,6.157207791585724,6.155072156818335,5.0,5.0
382,NormativeLogRatio,value neglect,12.904201757525852,0.5316955934105778,4.705492292656165,1.0,10.0
383,NormativeLogRatio,perceptual neglect,20.346725580703314,4.010285567114,0.41354079036711683,10.0,1.0
384,NormativeLogRatio,random,32.50124223597551,0.9877908280946871,0.0,,
385,NormativeLogRatio,balanced,13.085775573424183,3.5592776086543627,3.487349054712619,5.0,5.0
386,NormativeLogRatio,value neglect,15.846844761410031,0.0,7.176653915809449,1.0,10.0
387,NormativeLogRatio,perceptual neglect,11.734647919485008,6.605586598802919,0.5082385378468487,10.0,1.0
388,NormativeLogRatio,random,33.778063146786884,0.23000963529825236,0.04917764941810415,,
389,NormativeLogRatio,balanced,14.782128402694104,3.4660148007156515,4.004494989957151,5.0,5.0
390,NormativeLogRatio,value neglect,11.695244046213345,1.2486118375329525,6.293975397334502,1.0,10.0
391,NormativeLogRatio,perceptual neglect,16.83187168702107,6.733325018820284,0.5014304871195797,10.0,1.0
392,NormativeLogRatio,random,33.85351406704008,0.0,0.1907671920425117,,
393,NormativeLogRatio,balanced,11.438942460264236,4.1343817737248365,3.8896206263126034,5.0,5.0
394,NormativeLogRatio,value neglect,23.910042533858462,0.0,4.824064155232922,1.0,10.0
395,NormativeLogRatio,perceptual neglect,19.20431504208237,16.735386857907436,0.35979466900531576,10.0,1.0
396,NormativeLogRatio,random,33.722569362160286,0.3864018453213473,0.0,,
397,NormativeLogRatio,balanced,15.926167659402351,3.4702107593764153,2.861084092444399,5.0,5.0
398,NormativeLogRatio,value neglect,2.3214983636050737,6.055819662328548,15.273478677310646,1.0,10.0
399,NormativeLogRatio,perceptual neglect,6.4654927365848645,5.79826820141038,0.3808265779695396,10.0,1.0
400,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
