prolificID,group,session,t,pair,choice,outcome1,outcome2,choseLeft,op1IsLeft,moveTime,fireTime,leftCount,rightCount,ev1,ev2,p1,p2,m1,m2,destroyed,score,opti_ss,opti_ff,opti_ev,hue,x,y
5484d361fdf99b0379939d5b,combined,3.0,85.5,0.1744186046511628,1.2325581395348837,659.0232558139535,349.3779069767442,0.5232558139534884,0.5,665.2093023255813,959.4476744186046,0.5523255813953488,0.5116279069767442,331.33720930232556,168.88953488372093,0.5037209302325582,0.4866860465116279,658.7209302325581,347.5581395348837,0.6511627906976745,34942.348837209305,0.7151162790697675,0.7616279069767442,0.8546511627906976,combined,0.7151162790697675,0.7616279069767442
58c42d725866f200017c5deb,perceptual,3.0,85.5,0.1744186046511628,1.441860465116279,662.2441860465116,343.5639534883721,0.47674418604651164,0.46511627906976744,466.2151162790698,549.9709302325581,0.5348837209302325,0.563953488372093,319.74418604651163,172.72093023255815,0.4841860465116279,0.5059302325581395,662.2093023255813,344.06976744186045,0.686046511627907,29119.482558139534,0.5232558139534884,0.8488372093023255,0.7558139534883721,perceptual,0.5232558139534884,0.8488372093023255
5a580fb6eedc320001426cd7,perceptual,3.0,85.046783625731,0.1695906432748538,1.456140350877193,656.5730994152046,341.6374269005848,0.5087719298245614,0.5087719298245614,236.50292397660817,523.9298245614035,0.5321637426900585,0.52046783625731,320.05847953216374,171.50292397660817,0.48812865497076025,0.500233918128655,656.374269005848,342.4561403508772,0.7192982456140351,30144.140350877195,0.5029239766081871,0.9005847953216374,0.7894736842105263,perceptual,0.5029239766081871,0.9005847953216374
5a9353586219a30001d2f2af,random,3.0,85.36842105263158,0.17543859649122806,1.432748538011696,654.8888888888889,344.05263157894734,0.49122807017543857,0.5614035087719298,618.1988304093567,1039.1520467836258,0.5380116959064327,0.5730994152046783,317.7368421052632,181.50877192982455,0.4788304093567251,0.527719298245614,656.9590643274854,345.3801169590643,0.47953216374269003,21327.116959064326,0.5263157894736842,0.43859649122807015,0.5263157894736842,random,0.5263157894736842,0.43859649122807015
5a9416ba6475f900019fa690,perceptual,3.0,85.5,0.1744186046511628,1.4767441860465116,653.6976744186046,342.88953488372096,0.5581395348837209,0.46511627906976744,192.08139534883722,351.1220930232558,0.5813953488372093,0.4476744186046512,317.1918604651163,167.87790697674419,0.49116279069767443,0.4926744186046511,651.046511627907,338.72093023255815,0.6918604651162791,29348.656976744187,0.48255813953488375,0.8953488372093024,0.7558139534883721,perceptual,0.48255813953488375,0.8953488372093024
5ac560359534ba0001c74715,combined,3.0,85.5,0.1744186046511628,1.319767441860465,649.7325581395348,336.93023255813955,0.5058139534883721,0.5232558139534884,556.4127906976744,979.0697674418604,0.5348837209302325,0.5348837209302325,322.3313953488372,171.1453488372093,0.49343023255813956,0.5034302325581396,651.6279069767442,339.30232558139534,0.622093023255814,27804.093023255813,0.6337209302325582,0.75,0.7790697674418605,combined,0.6337209302325582,0.75
5d012b5ffade220017b10010,combined,3.0,85.5,0.1744186046511628,1.2848837209302326,664.6337209302326,348.08720930232556,0.46511627906976744,0.47093023255813954,379.95348837209303,498.4360465116279,0.5465116279069767,0.5872093023255814,338.48837209302326,172.59302325581396,0.51,0.4846511627906977,658.6046511627907,348.6046511627907,0.6453488372093024,33249.08720930233,0.6744186046511628,0.7906976744186046,0.8081395348837209,combined,0.6744186046511628,0.7906976744186046
5d44afdcad6d110019b0a960,perceptual,3.0,85.5,0.1744186046511628,1.4651162790697674,649.5523255813954,342.18023255813955,0.5872093023255814,0.563953488372093,326.5755813953488,706.5523255813954,0.6162790697674418,0.43023255813953487,326.63953488372096,170.8139534883721,0.49819767441860463,0.5078488372093023,651.8604651162791,341.86046511627904,0.6569767441860465,27748.587209302324,0.4941860465116279,0.813953488372093,0.7558139534883721,perceptual,0.4941860465116279,0.813953488372093
5d5b67ab9ad5a300181398dc,perceptual,3.0,85.5,0.1744186046511628,1.4534883720930232,658.1918604651163,347.7906976744186,0.47674418604651164,0.46511627906976744,681.2383720930233,1154.046511627907,0.4883720930232558,0.5523255813953488,321.91279069767444,168.62790697674419,0.4890116279069767,0.49476744186046506,659.8837209302326,345.2325581395349,0.6802325581395349,29437.89534883721,0.5,0.877906976744186,0.7267441860465116,perceptual,0.5,0.877906976744186
5d773df22fa4bf001a045aa9,combined,3.0,85.5,0.1744186046511628,1.3895348837209303,661.0523255813954,343.8837209302326,0.5174418604651163,0.5465116279069767,738.0697674418604,927.953488372093,0.5290697674418605,0.4941860465116279,340.1220930232558,172.32558139534885,0.5123255813953489,0.4909302325581395,661.046511627907,344.06976744186045,0.622093023255814,28729.261627906977,0.5697674418604651,0.7383720930232558,0.6627906976744186,combined,0.5697674418604651,0.7383720930232558
