pid,obtained,expName,pounds,formula
610a1655e385fd7341e12778,159217,FullPilot12,3.18434,obtained*0.00002 - obtained*0.00002*0.15
66f6c4195f17d26ce8c8018d,140225,FullPilot12,2.8045000000000004,obtained*0.00002 - obtained*0.00002*0.15
636590165e6fcc3e84ee2b6d,148915,FullPilot12,2.9783000000000004,obtained*0.00002 - obtained*0.00002*0.15
660d619f39d061875f78ac8c,124801,FullPilot12,2.49602,obtained*0.00002 - obtained*0.00002*0.15
667ad18688c9319e6559bdc4,180226,FullPilot12,3.6045200000000004,obtained*0.00002 - obtained*0.00002*0.15
669ede47eb98d478aff45414,189019,FullPilot12,3.7803800000000005,obtained*0.00002 - obtained*0.00002*0.15
60d7922fc3809c404939251c,154643,FullPilot12,3.0928600000000004,obtained*0.00002 - obtained*0.00002*0.15
5a9353586219a30001d2f2af,141127,FullPilot12,2.82254,obtained*0.00002 - obtained*0.00002*0.15
5d5b67ab9ad5a300181398dc,167801,FullPilot12,3.3560200000000004,obtained*0.00002 - obtained*0.00002*0.15
6165e6f471254e3af05c5057,152969,FullPilot12,3.0593800000000004,obtained*0.00002 - obtained*0.00002*0.15
66f7102d3196ce5e60b2c1bd,173017,FullPilot12,3.4603400000000004,obtained*0.00002 - obtained*0.00002*0.15
66eeda2bc7d6e9b92b4a81c0,181340,FullPilot12,3.6268000000000002,obtained*0.00002 - obtained*0.00002*0.15
63626fe174f7db263a4aa8f2,151763,FullPilot12,3.03526,obtained*0.00002 - obtained*0.00002*0.15
6167175ed1680ecefc063aed,193394,FullPilot12,3.8678800000000004,obtained*0.00002 - obtained*0.00002*0.15
66bb5ad727c62d0960db333c,177567,FullPilot12,3.55134,obtained*0.00002 - obtained*0.00002*0.15
64db80772c860983ea3a7310,127236,FullPilot12,2.5447200000000003,obtained*0.00002 - obtained*0.00002*0.15
657b6239aa8091bfa2b24ae0,181861,FullPilot12,3.63722,obtained*0.00002 - obtained*0.00002*0.15
66b104dedef80475efe58141,176257,FullPilot12,3.5251400000000004,obtained*0.00002 - obtained*0.00002*0.15
60da2baf34bde948982f84db,126655,FullPilot12,2.5331,obtained*0.00002 - obtained*0.00002*0.15
663a623d4ea504f754d08b02,195727,FullPilot12,3.91454,obtained*0.00002 - obtained*0.00002*0.15
5ac560359534ba0001c74715,154361,FullPilot12,3.0872200000000003,obtained*0.00002 - obtained*0.00002*0.15
665c4e3dc160ab38d079635a,152904,FullPilot12,3.0580800000000004,obtained*0.00002 - obtained*0.00002*0.15
663eea8e72f4269ddd149eba,154315,FullPilot12,3.0863,obtained*0.00002 - obtained*0.00002*0.15
5d44afdcad6d110019b0a960,180710,FullPilot12,3.6142000000000003,obtained*0.00002 - obtained*0.00002*0.15
66acee53fddf185342f15a88,191165,FullPilot12,3.8233,obtained*0.00002 - obtained*0.00002*0.15
660c9c26e4220931438f3d30,200474,FullPilot12,4.00948,obtained*0.00002 - obtained*0.00002*0.15
669f45c902420af78b04a9b1,184172,FullPilot12,3.6834400000000005,obtained*0.00002 - obtained*0.00002*0.15
62b4ef82055cec7135502ada,137156,FullPilot12,2.7431200000000002,obtained*0.00002 - obtained*0.00002*0.15
66ba4608bc582e7db54007e5,200662,FullPilot13,3.41,obtained*0.00002
615e5b5f1e8fbfe2c701bc8e,208598,FullPilot13,3.55,obtained*0.00002
66c34ed9630786ec5aece5bb,199418,FullPilot13,3.39,obtained*0.00002
6609e31201eebc9f6a2de74b,228980,FullPilot13,3.89,obtained*0.00002
665ba7a36d036dd09e9081c2,221735,FullPilot13,3.77,obtained*0.00002
66f3fed9e931683984276fee,189530,FullPilot13,3.22,obtained*0.00002
65c23e2e1a96e23b93afdea0,201743,FullPilot13,3.43,obtained*0.00002
66ae3fb9006e6fc44a2b56df,199445,FullPilot13,3.39,obtained*0.00002
5b6c312fa1fda800015fe165,203984,FullPilot13,3.47,obtained*0.00002
6697dfc91b0e8c6d62d7b472,174219,FullPilot13,2.96,obtained*0.00002
66074f7cb655db9adfae591b,202558,FullPilot13,3.44,obtained*0.00002
57027c1f68c641000e0c8970,167489,FullPilot13,2.85,obtained*0.00002
655f7e55e36be4f00b49aa5e,224983,FullPilot13,3.82,obtained*0.00002
66b274c9c39e8e5057bcfaf6,170629,FullPilot13,2.9,obtained*0.00002
5d09895e65eb3400189cc207,166091,FullPilot13,2.82,obtained*0.00002
60c2a30e24e7f2ce0c8b56ca,190028,FullPilot13,3.23,obtained*0.00002
66f73913e3459a85f0574823,206142,FullPilot13,3.5,obtained*0.00002
6643670ad062f01ac1c4b788,172317,FullPilot13,2.93,obtained*0.00002
66d5df2e288343b20df362d4,164577,FullPilot13,2.8,obtained*0.00002
66abc79f0812c1f89a25adfb,251486,FullPilot13,4.28,obtained*0.00002
63254db937c17e8e9200fd54,214362,FullPilot13,3.64,obtained*0.00002
559c3a4dfdf99b32b6963e70,247474,FullPilot13,4.21,obtained*0.00002
66f2f743ac55ce843124f2bf,204482,FullPilot13,3.48,obtained*0.00002
5e8fe87009881f2ee83521fb,227174,FullPilot13,3.86,obtained*0.00002
6020606d7b0258677b881f63,186962,FullPilot13,3.18,obtained*0.00002
6646aa536ff16adfd7903930,184991,FullPilot13,3.14,obtained*0.00002
667ac1826ce22f03fab354c3,200009,FullPilot13,3.4,obtained*0.00002
6637f4d0a76556e2a39063f4,217431,FullPilot13,3.7,obtained*0.00002
63b18d94775ad4aad221103c,216988,FullPilot13,3.69,obtained*0.00002
66ad3db205eb0c54c153a291,208299,FullPilot13,3.54,obtained*0.00002
