agent,expName,group,model_original,model_fitted,value_fitted,value_original,ll,param,param2,n_param,bic,winning,p(model),p_model
660d619f39d061875f78ac8c,FullPilot12,random,absolute-var,absolute,184.66401839256287,287.0,162.44530196950805,$\beta_V$,beta_ss,2,337.6028192604079,True,1.8782211197235012e-35,1.8782211197235012e-35
660d619f39d061875f78ac8c,FullPilot12,random,absolute,absolute-var,687.6123046875,424.0,105.83244773702204,$\beta_P$,beta_ff,2,224.37711079543587,True,0.9999999999963431,0.9999999999963431
660d619f39d061875f78ac8c,FullPilot12,random,absolute,absolute-var,484.8935546875,533.0,105.83244773702204,$\beta_V$,beta_ss,2,224.37711079543587,True,0.9999999999963431,0.9999999999963431
660d619f39d061875f78ac8c,FullPilot12,random,absolute,absolute,735.9074313764573,424.0,115.39673036665272,$\beta_P$,beta_ff,2,243.50567605469723,True,3.656849349300406e-12,3.656849349300406e-12
660d619f39d061875f78ac8c,FullPilot12,random,absolute,absolute,999.4346546550516,533.0,115.39673036665272,$\beta_V$,beta_ss,2,243.50567605469723,True,3.656849349300406e-12,3.656849349300406e-12
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,absolute-var,719.3501044511795,836.0,103.3051029144677,$\beta_P$,beta_ff,2,219.3224211503272,True,0.9999999999818319,0.9999999999818319
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,absolute-var,184.452398955822,281.0,103.3051029144677,$\beta_V$,beta_ss,2,219.3224211503272,True,0.9999999999818319,0.9999999999818319
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,absolute,937.7150285472162,836.0,112.06550968668137,$\beta_P$,beta_ff,2,236.84323469475453,True,1.816820725454352e-11,1.816820725454352e-11
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute-var,absolute,253.78592305793427,281.0,112.06550968668137,$\beta_V$,beta_ss,2,236.84323469475453,True,1.816820725454352e-11,1.816820725454352e-11
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,absolute-var,739.6736623585062,552.0,115.58623222043664,$\beta_P$,beta_ff,2,243.88467976226508,True,0.9999999999999973,0.9999999999999973
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,absolute-var,858.7208256850788,805.0,115.58623222043664,$\beta_V$,beta_ss,2,243.88467976226508,True,0.9999999999999973,0.9999999999999973
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,absolute,346.986328125,552.0,128.7555187395974,$\beta_P$,beta_ff,2,270.2232528005866,True,2.7029653363830742e-15,2.7029653363830742e-15
667ad18688c9319e6559bdc4,FullPilot12,combined,absolute,absolute,500.974609375,805.0,128.7555187395974,$\beta_V$,beta_ss,2,270.2232528005866,True,2.7029653363830742e-15,2.7029653363830742e-15
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,absolute-var,896.4234395958483,764.0,103.85680540318549,$\beta_P$,beta_ff,2,220.42582612776278,True,0.9999999999994913,0.9999999999994913
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,absolute-var,649.5154914222658,638.0,103.85680540318549,$\beta_V$,beta_ss,2,220.42582612776278,True,0.9999999999994913,0.9999999999994913
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,absolute,161.810546875,764.0,114.40498218704336,$\beta_P$,beta_ff,2,241.5221796954785,True,5.087152695161907e-13,5.087152695161907e-13
669ede47eb98d478aff45414,FullPilot12,combined,absolute-var,absolute,91.638671875,638.0,114.40498218704336,$\beta_V$,beta_ss,2,241.5221796954785,True,5.087152695161907e-13,5.087152695161907e-13
669ede47eb98d478aff45414,FullPilot12,combined,absolute,absolute-var,736.1774873424743,972.0,99.15877771011336,$\beta_P$,beta_ff,2,211.0297707416185,True,0.9999999999999951,0.9999999999999951
669ede47eb98d478aff45414,FullPilot12,combined,absolute,absolute-var,185.3990651102456,325.0,99.15877771011336,$\beta_V$,beta_ss,2,211.0297707416185,True,0.9999999999999951,0.9999999999999951
669ede47eb98d478aff45414,FullPilot12,combined,absolute,absolute,965.8207153545227,972.0,112.0387377609306,$\beta_P$,beta_ff,2,236.789690843253,True,4.821101263025284e-15,4.821101263025284e-15
669ede47eb98d478aff45414,FullPilot12,combined,absolute,absolute,269.766945811396,325.0,112.0387377609306,$\beta_V$,beta_ss,2,236.789690843253,True,4.821101263025284e-15,4.821101263025284e-15
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,absolute-var,999.9993553161621,708.0,108.84079645803335,$\beta_P$,beta_ff,2,230.3938082374585,True,1.0,1.0
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,absolute-var,999.9993553161621,771.0,108.84079645803335,$\beta_V$,beta_ss,2,230.3938082374585,True,1.0,1.0
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,absolute,771.5961531437933,708.0,133.8282888766515,$\beta_P$,beta_ff,2,280.3687930746948,True,1.46098100094516e-25,1.46098100094516e-25
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute-var,absolute,936.7996585331857,771.0,133.8282888766515,$\beta_V$,beta_ss,2,280.3687930746948,True,1.46098100094516e-25,1.46098100094516e-25
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,absolute-var,304.1111297607422,663.0,103.05472062226275,$\beta_P$,beta_ff,2,218.8216565659173,True,0.9999999999998699,0.9999999999998699
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,absolute-var,707.8887481689453,977.0,103.05472062226275,$\beta_V$,beta_ss,2,218.8216565659173,True,0.9999999999998699,0.9999999999998699
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,absolute,17.0810546875,663.0,114.28712644556826,$\beta_P$,beta_ff,2,241.28646821252832,True,1.3007495156248278e-13,1.3007495156248278e-13
60d7922fc3809c404939251c,FullPilot12,perceptual,absolute,absolute,690.5361328125,977.0,114.28712644556826,$\beta_V$,beta_ss,2,241.28646821252832,True,1.3007495156248278e-13,1.3007495156248278e-13
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,absolute-var,554.0036444067955,360.0,114.25911365723184,$\beta_P$,beta_ff,2,241.23044263585547,True,1.0,1.0
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,absolute-var,658.7061008810997,516.0,114.25911365723184,$\beta_V$,beta_ss,2,241.23044263585547,True,1.0,1.0
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,absolute,652.5263671875,360.0,134.8232869911456,$\beta_P$,beta_ff,2,282.358789303683,True,1.015525209017828e-21,1.015525209017828e-21
5a9353586219a30001d2f2af,FullPilot12,random,absolute-var,absolute,554.0908203125,516.0,134.8232869911456,$\beta_V$,beta_ss,2,282.358789303683,True,1.015525209017828e-21,1.015525209017828e-21
5a9353586219a30001d2f2af,FullPilot12,random,absolute,absolute-var,767.6411840319633,415.0,96.42065949905283,$\beta_P$,beta_ff,2,205.55353431949746,True,0.9999999941913715,0.9999999941913715
5a9353586219a30001d2f2af,FullPilot12,random,absolute,absolute-var,218.46584379673004,113.0,96.42065949905283,$\beta_V$,beta_ss,2,205.55353431949746,True,0.9999999941913715,0.9999999941913715
5a9353586219a30001d2f2af,FullPilot12,random,absolute,absolute,928.946260575136,415.0,102.29969321877641,$\beta_P$,beta_ff,2,217.31160175894462,True,5.808628463452756e-09,5.808628463452756e-09
5a9353586219a30001d2f2af,FullPilot12,random,absolute,absolute,276.80684508339255,113.0,102.29969321877641,$\beta_V$,beta_ss,2,217.31160175894462,True,5.808628463452756e-09,5.808628463452756e-09
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,absolute-var,375.11503498256207,10.0,111.05293241123084,$\beta_P$,beta_ff,2,234.81808014385348,True,1.0,1.0
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,absolute-var,822.7821211852133,95.0,111.05293241123084,$\beta_V$,beta_ss,2,234.81808014385348,True,1.0,1.0
