"prolificID","expName","session","t","pair","choice","outcome1","outcome2","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","m1","m2","name1","name2","destroyed","score","datetime"
"6543f7e306c0fc611aafc81d",,"0","38","10","2","5","5","0","1","481","682","0","1","2","3","0.37","0.63","0","0",,,"0","145","2024-02-07 15:39:47"
"6543f7e306c0fc611aafc81d",,"0","39","15","2","5","5","0","1","997","1182","0","1","4","4","0.78","0.88","0","0",,,"1","150","2024-02-07 15:39:50"
"6543f7e306c0fc611aafc81d",,"0","40","0","2","5","5","0","1","532","715","0","1","1","4","0.12","0.88","0","0",,,"1","155","2024-02-07 15:39:52"
"6543f7e306c0fc611aafc81d",,"0","41","8","2","5","5","1","0","566","732","1","0","1","4","0.29","0.71","0","0",,,"0","155","2024-02-07 15:39:55"
"6543f7e306c0fc611aafc81d",,"0","42","9","2","5","5","1","0","498","749","1","0","2","4","0.37","0.84","0","0",,,"1","160","2024-02-07 15:39:57"
"6543f7e306c0fc611aafc81d",,"0","43","8","2","5","5","1","0","482","699","1","0","1","4","0.29","0.71","0","0",,,"1","165","2024-02-07 15:39:59"
"6543f7e306c0fc611aafc81d",,"0","44","7","2","5","5","0","1","566","766","0","1","1","4","0.29","0.88","0","0",,,"1","170","2024-02-07 15:40:02"
"6543f7e306c0fc611aafc81d",,"0","45","1","2","5","5","0","1","515","699","0","1","1","4","0.12","0.71","0","0",,,"1","175","2024-02-07 15:40:04"
"6543f7e306c0fc611aafc81d",,"0","46","9","2","5","5","0","1","465","632","0","1","2","4","0.37","0.84","0","0",,,"1","180","2024-02-07 15:40:06"
"6543f7e306c0fc611aafc81d",,"0","47","5","2","5","5","1","0","498","683","1","0","1","3","0.16","0.63","0","0",,,"1","185","2024-02-07 15:40:08"
"6543f7e306c0fc611aafc81d",,"0","48","7","2","5","5","0","1","515","699","0","1","1","4","0.29","0.88","0","0",,,"1","190","2024-02-07 15:40:11"
"6543f7e306c0fc611aafc81d",,"0","49","0","2","5","5","0","1","498","699","0","1","1","4","0.12","0.88","0","0",,,"1","195","2024-02-07 15:40:13"
"6543f7e306c0fc611aafc81d",,"0","50","13","2","5","5","0","1","898","1115","0","1","3","3","0.55","0.63","0","0",,,"0","195","2024-02-07 15:40:15"
"6543f7e306c0fc611aafc81d",,"0","51","14","2","5","5","1","0","649","849","1","0","3","4","0.63","0.78","0","0",,,"1","200","2024-02-07 15:40:18"
"6543f7e306c0fc611aafc81d",,"0","52","14","2","5","5","0","1","598","765","0","1","3","4","0.63","0.78","0","0",,,"1","205","2024-02-07 15:40:20"
"6543f7e306c0fc611aafc81d",,"0","53","5","2","5","5","0","1","565","716","0","1","1","3","0.16","0.63","0","0",,,"1","210","2024-02-07 15:40:22"
"6543f7e306c0fc611aafc81d",,"0","54","10","2","5","5","1","0","549","766","1","0","2","3","0.37","0.63","0","0",,,"1","215","2024-02-07 15:40:25"
"6543f7e306c0fc611aafc81d",,"0","55","9","2","5","5","0","1","548","732","0","1","2","4","0.37","0.84","0","0",,,"0","215","2024-02-07 15:40:27"
"6543f7e306c0fc611aafc81d",,"0","56","3","2","5","5","1","0","1031","1281","1","0","1","1","0.12","0.22","0","0",,,"0","215","2024-02-07 15:40:30"
"6543f7e306c0fc611aafc81d",,"0","57","14","2","5","5","1","0","848","1032","1","0","3","4","0.63","0.78","0","0",,,"0","215","2024-02-07 15:40:33"
"6543f7e306c0fc611aafc81d",,"0","58","3","2","5","5","1","0","1281","1565","1","0","1","1","0.12","0.22","0","0",,,"0","215","2024-02-07 15:40:36"
"6543f7e306c0fc611aafc81d",,"0","59","3","2","5","5","1","0","682","915","1","0","1","1","0.12","0.22","0","0",,,"0","215","2024-02-07 15:40:38"
"6543f7e306c0fc611aafc81d",,"0","60","8","2","5","5","1","0","549","1432","1","1","1","4","0.29","0.71","0","0",,,"0","215","2024-02-07 15:40:41"
"6543f7e306c0fc611aafc81d",,"0","61","1","2","5","5","0","1","598","782","0","1","1","4","0.12","0.71","0","0",,,"0","215","2024-02-07 15:40:44"
"6543f7e306c0fc611aafc81d",,"0","62","15","2","5","5","1","0","931","1315","1","0","4","4","0.78","0.88","0","0",,,"1","220","2024-02-07 15:40:47"
"6543f7e306c0fc611aafc81d",,"0","63","6","2","5","5","0","1","799","982","0","1","1","2","0.22","0.37","0","0",,,"0","220","2024-02-07 15:40:49"
"6543f7e306c0fc611aafc81d",,"1","0","7","2","5","5","0","1","99","998","2","1","1","4","0.29","0.88","0","0",,,"1","5","2024-02-07 15:41:05"
"6543f7e306c0fc611aafc81d",,"1","1","4","2","5","5","0","1","449","599","0","1","1","4","0.16","0.84","0","0",,,"1","10","2024-02-07 15:41:07"
"6543f7e306c0fc611aafc81d",,"1","2","14","2","5","5","0","1","799","949","0","1","3","4","0.63","0.78","0","0",,,"1","15","2024-02-07 15:41:10"
"6543f7e306c0fc611aafc81d",,"1","3","11","2","5","5","0","1","898","1198","0","1","2","2","0.37","0.45","0","0",,,"0","15","2024-02-07 15:41:13"
"6543f7e306c0fc611aafc81d",,"1","4","8","2","5","5","0","1","715","866","0","1","1","4","0.29","0.71","0","0",,,"1","20","2024-02-07 15:41:15"
"6543f7e306c0fc611aafc81d",,"1","5","7","2","5","5","1","0","549","715","1","0","1","4","0.29","0.88","0","0",,,"1","25","2024-02-07 15:41:17"
"6543f7e306c0fc611aafc81d",,"1","6","12","2","5","5","0","1","482","649","0","1","3","4","0.55","0.88","0","0",,,"0","25","2024-02-07 15:41:20"
"6543f7e306c0fc611aafc81d",,"1","7","15","2","5","5","0","1","898","1065","0","1","4","4","0.78","0.88","0","0",,,"1","30","2024-02-07 15:41:22"
"6543f7e306c0fc611aafc81d",,"1","8","0","2","5","5","1","0","515","699","1","0","1","4","0.12","0.88","0","0",,,"1","35","2024-02-07 15:41:25"
"6543f7e306c0fc611aafc81d",,"1","9","5","2","5","5","1","0","615","782","1","0","1","3","0.16","0.63","0","0",,,"1","40","2024-02-07 15:41:27"
"6543f7e306c0fc611aafc81d",,"1","10","10","2","5","5","1","0","482","632","1","0","2","3","0.37","0.63","0","0",,,"1","45","2024-02-07 15:41:29"
"6543f7e306c0fc611aafc81d",,"1","11","3","2","5","5","1","0","948","1099","1","0","1","1","0.12","0.22","0","0",,,"1","50","2024-02-07 15:41:32"
"6543f7e306c0fc611aafc81d",,"1","12","12","2","5","5","1","0","598","749","1","0","3","4","0.55","0.88","0","0",,,"1","55","2024-02-07 15:41:34"
"6543f7e306c0fc611aafc81d",,"1","13","0","2","5","5","1","0","482","715","1","0","1","4","0.12","0.88","0","0",,,"1","60","2024-02-07 15:41:36"
"6543f7e306c0fc611aafc81d",,"1","14","6","2","5","5","1","0","714","848","1","0","1","2","0.22","0.37","0","0",,,"1","65","2024-02-07 15:41:38"
"6543f7e306c0fc611aafc81d",,"1","15","12","2","5","5","0","1","599","899","0","1","3","4","0.55","0.88","0","0",,,"1","70","2024-02-07 15:41:41"
"6543f7e306c0fc611aafc81d",,"1","16","6","2","5","5","0","1","648","815","0","1","1","2","0.22","0.37","0","0",,,"1","75","2024-02-07 15:41:43"
"6543f7e306c0fc611aafc81d",,"1","17","8","2","5","5","1","0","532","682","1","0","1","4","0.29","0.71","0","0",,,"1","80","2024-02-07 15:41:45"
"6543f7e306c0fc611aafc81d",,"1","18","10","2","5","5","1","0","499","699","1","0","2","3","0.37","0.63","0","0",,,"0","80","2024-02-07 15:41:48"
"6543f7e306c0fc611aafc81d",,"1","19","14","2","5","5","1","0","782","949","1","0","3","4","0.63","0.78","0","0",,,"0","80","2024-02-07 15:41:50"
"6543f7e306c0fc611aafc81d",,"1","20","5","2","5","5","0","1","482","732","0","1","1","3","0.16","0.63","0","0",,,"0","80","2024-02-07 15:41:53"
"6543f7e306c0fc611aafc81d",,"1","21","2","2","5","5","1","0","482","699","1","0","1","2","0.12","0.45","0","0",,,"0","80","2024-02-07 15:41:55"
"6543f7e306c0fc611aafc81d",,"1","22","13","2","5","5","0","1","915","1182","0","1","3","3","0.55","0.63","0","0",,,"0","80","2024-02-07 15:41:58"
"6543f7e306c0fc611aafc81d",,"1","23","4","2","5","5","1","0","448","632","1","0","1","4","0.16","0.84","0","0",,,"0","80","2024-02-07 15:42:00"
