prolificID,opti_ss,opti_ff,correct,destroyed
5ac560359534ba0001c74715,0.9479166666666666,0.0,0.9479166666666666,1.0
668180f26a3b162091510589,0.9473684210526315,0.0,0.9473684210526315,1.0
66c7f746e43985cfcb2c99e6,0.9456521739130435,0.0,0.9456521739130435,1.0
5484d361fdf99b0379939d5b,0.9368421052631579,0.0,0.9368421052631579,1.0
66f09b3690fe3df51613a689,0.9270833333333334,0.0,0.9270833333333334,1.0
657b6239aa8091bfa2b24ae0,0.9270833333333334,0.0,0.9270833333333334,1.0
5ee738a018d5a84caa7e0f2a,0.9263157894736842,0.0,0.9263157894736842,1.0
5a9416ba6475f900019fa690,0.9166666666666666,0.0,0.9166666666666666,1.0
66eefcfef4a122e447c654d1,0.896551724137931,0.0,0.896551724137931,1.0
669ede47eb98d478aff45414,0.875,0.0,0.875,1.0
66cbc2627559d53c0e3e4ac4,0.8645833333333334,0.0,0.8645833333333334,1.0
663a623d4ea504f754d08b02,0.8645833333333334,0.0,0.8645833333333334,1.0
62865e3456c142785cfad2a7,0.8645833333333334,0.0,0.8645833333333334,1.0
65e0ef2a74037d1530a40cca,0.8645833333333334,0.0,0.8645833333333334,1.0
66ffb576e0cde42ca9ea7fa7,0.8645833333333334,0.0,0.8645833333333334,1.0
66e74251d30f3f96be79e2f0,0.8541666666666666,0.0,0.8541666666666666,1.0
61363ce02e6022a741d63a6e,0.8541666666666666,0.0,0.8541666666666666,1.0
6167175ed1680ecefc063aed,0.8541666666666666,0.0,0.8541666666666666,1.0
5d44afdcad6d110019b0a960,0.8541666666666666,0.0,0.8541666666666666,1.0
60d7922fc3809c404939251c,0.8541666666666666,0.0,0.8541666666666666,1.0
660c9c26e4220931438f3d30,0.8541666666666666,0.0,0.8541666666666666,1.0
5d012b5ffade220017b10010,0.8333333333333334,0.0,0.8333333333333334,1.0
5a9353586219a30001d2f2af,0.8125,0.0,0.8125,1.0
5da4152a3ab39a0011295a3e,0.8020833333333334,0.0,0.8020833333333334,1.0
632fc453431e3369da22be81,0.8,0.0,0.8,1.0
663eea8e72f4269ddd149eba,0.7962962962962963,0.0,0.7962962962962963,1.0
66bb5ad727c62d0960db333c,0.7916666666666666,0.0,0.7916666666666666,1.0
6150fb8383f88eae3e5c795a,0.7894736842105263,0.0,0.7894736842105263,1.0
66463a2c0a36377060b1910c,0.78125,0.0,0.78125,1.0
5d9cb58ee8783f0019c8bd06,0.7604166666666666,0.0,0.7604166666666666,1.0
669628f0762cf2bfc381c161,0.7604166666666666,0.0,0.7604166666666666,1.0
66182d2b06cbee83d298b517,0.7395833333333334,0.0,0.7395833333333334,1.0
66f6c4195f17d26ce8c8018d,0.71875,0.0,0.71875,1.0
58c42d725866f200017c5deb,0.7157894736842105,0.0,0.7157894736842105,1.0
5d5b67ab9ad5a300181398dc,0.6875,0.0,0.6875,1.0
66d9b86591a5610c3492d5d9,0.6770833333333334,0.0,0.6770833333333334,1.0
66acee53fddf185342f15a88,0.6666666666666666,0.0,0.6666666666666666,1.0
5e2b3e22a8f85318c2429121,0.6458333333333334,0.0,0.6458333333333334,1.0
667ad18688c9319e6559bdc4,0.6354166666666666,0.0,0.6354166666666666,1.0
66eeda2bc7d6e9b92b4a81c0,0.6105263157894737,0.0,0.6105263157894737,1.0
669f45c902420af78b04a9b1,0.6105263157894737,0.0,0.6105263157894737,1.0
66f7102d3196ce5e60b2c1bd,0.6,0.0,0.6,1.0
610a1655e385fd7341e12778,0.6,0.0,0.6,1.0
66b104dedef80475efe58141,0.59375,0.0,0.59375,1.0
66ee262c64a810b7ec1371e9,0.5729166666666666,0.0,0.5729166666666666,1.0
6646731363eb9f583aa62e05,0.5625,0.0,0.5625,1.0
660d619f39d061875f78ac8c,0.5480769230769231,0.0,0.5480769230769231,1.0
5d773df22fa4bf001a045aa9,0.5263157894736842,0.0,0.5263157894736842,1.0
664a7e1665f30b00d2685ba3,0.5263157894736842,0.0,0.5263157894736842,1.0
636590165e6fcc3e84ee2b6d,0.5161290322580645,0.0,0.5161290322580645,1.0
665c4e3dc160ab38d079635a,0.5052631578947369,0.0,0.5052631578947369,1.0
63626fe174f7db263a4aa8f2,0.5,0.0,0.5,1.0
5a580fb6eedc320001426cd7,0.4895833333333333,0.0,0.4895833333333333,1.0
66fc60b6f59bcb7d6dba7d4f,0.46875,0.0,0.46875,1.0
64db80772c860983ea3a7310,0.4631578947368421,0.0,0.4631578947368421,1.0
62b4ef82055cec7135502ada,0.4421052631578947,0.0,0.4421052631578947,1.0
6165e6f471254e3af05c5057,0.4270833333333333,0.0,0.4270833333333333,1.0
663784abc88d62265def75ea,0.4166666666666667,0.0,0.4166666666666667,1.0
6087ee3e8df094dc6dd69e8e,0.40625,0.0,0.40625,1.0
628de7e8ff1744a9717d7883,0.3854166666666667,0.0,0.3854166666666667,1.0
60da2baf34bde948982f84db,0.35789473684210527,0.0,0.35789473684210527,1.0
