agent,expName,model,0
5f3227893ca51916b4ff6d9d,FullPilot14,log-ratio,3
5f3227893ca51916b4ff6d9d,FullPilot14,single,3
5fd7782dee03dc08d3f3f491,FullPilot13,independent,3
5fd7782dee03dc08d3f3f491,FullPilot13,log-ratio,3
5fd7782dee03dc08d3f3f491,FullPilot13,single,3
5fe17e28d8918b3fae67ec4d,FullPilot14,independent,3
5fe17e28d8918b3fae67ec4d,FullPilot14,log-ratio,3
5fe17e28d8918b3fae67ec4d,FullPilot14,single,3
60165591d472ae0b5c202703,FullPilot14,independent,3
60165591d472ae0b5c202703,FullPilot14,log-ratio,3
60165591d472ae0b5c202703,FullPilot14,single,3
6020606d7b0258677b881f63,FullPilot13,independent,3
6020606d7b0258677b881f63,FullPilot13,log-ratio,3
6020606d7b0258677b881f63,FullPilot13,single,3
6087ee3e8df094dc6dd69e8e,FullPilot12,independent,3
6087ee3e8df094dc6dd69e8e,FullPilot12,log-ratio,3
6087ee3e8df094dc6dd69e8e,FullPilot12,single,3
60c2a30e24e7f2ce0c8b56ca,FullPilot13,independent,3
60c2a30e24e7f2ce0c8b56ca,FullPilot13,log-ratio,3
60c2a30e24e7f2ce0c8b56ca,FullPilot13,single,3
60d7922fc3809c404939251c,FullPilot12,independent,3
60d7922fc3809c404939251c,FullPilot12,log-ratio,3
60d7922fc3809c404939251c,FullPilot12,single,3
60da2baf34bde948982f84db,FullPilot12,independent,3
60da2baf34bde948982f84db,FullPilot12,log-ratio,3
60da2baf34bde948982f84db,FullPilot12,single,3
610a1655e385fd7341e12778,FullPilot12,independent,3
610a1655e385fd7341e12778,FullPilot12,log-ratio,3
610a1655e385fd7341e12778,FullPilot12,single,3
61363ce02e6022a741d63a6e,FullPilot12,independent,3
61363ce02e6022a741d63a6e,FullPilot12,log-ratio,3
61363ce02e6022a741d63a6e,FullPilot12,single,3
6150fb8383f88eae3e5c795a,FullPilot12,independent,3
6150fb8383f88eae3e5c795a,FullPilot12,log-ratio,3
6150fb8383f88eae3e5c795a,FullPilot12,single,3
615e5b5f1e8fbfe2c701bc8e,FullPilot13,independent,3
615e5b5f1e8fbfe2c701bc8e,FullPilot13,log-ratio,3
615e5b5f1e8fbfe2c701bc8e,FullPilot13,single,3
6165af4b36cb3bae91f2e355,FullPilot14,independent,3
6165af4b36cb3bae91f2e355,FullPilot14,log-ratio,3
6165af4b36cb3bae91f2e355,FullPilot14,single,3
6165e6f471254e3af05c5057,FullPilot12,independent,3
6165e6f471254e3af05c5057,FullPilot12,log-ratio,3
6165e6f471254e3af05c5057,FullPilot12,single,3
6167175ed1680ecefc063aed,FullPilot12,independent,3
6167175ed1680ecefc063aed,FullPilot12,log-ratio,3
6167175ed1680ecefc063aed,FullPilot12,single,3
62865e3456c142785cfad2a7,FullPilot12,independent,3
62865e3456c142785cfad2a7,FullPilot12,log-ratio,3
62865e3456c142785cfad2a7,FullPilot12,single,3
628d78a2ccf4a41f24c2d2d8,FullPilot14,independent,3
628d78a2ccf4a41f24c2d2d8,FullPilot14,log-ratio,3
628d78a2ccf4a41f24c2d2d8,FullPilot14,single,3
628de7e8ff1744a9717d7883,FullPilot12,independent,3
628de7e8ff1744a9717d7883,FullPilot12,log-ratio,3
628de7e8ff1744a9717d7883,FullPilot12,single,3
